supercontig	IES_in_supercontig_start	IES_in_supercontig_end	IES_ID	IES_size	start_supercontig	end_supercontig	chromosome_name	supercontig_in_chromosome_start	supercontig_in_chromosome_end	IES_in_chromosome_start	IES_in_chromosome_end
supercont2.10	30536	33144	IES-00159-r11	2609	2098439	1	chr2	187812	2286250	2253107	2255716
supercont2.10	34931	39364	IES-00160-r16	4434	2098439	1	chr2	187812	2286250	2246887	2251321
supercont2.10	40765	45246	IES-00161-r17	4482	2098439	1	chr2	187812	2286250	2241005	2245487
supercont2.10	50837	52787	IES-00162-r4	1951	2098439	1	chr2	187812	2286250	2233464	2235415
supercont2.10	60005	61824	IES-00163-r9	1820	2098439	1	chr2	187812	2286250	2224427	2226247
supercont2.10	112020	117945	IES-00164-r12	5926	2098439	1	chr2	187812	2286250	2168306	2174232
supercont2.10	124473	126767	IES-00165-r14	2295	2098439	1	chr2	187812	2286250	2159484	2161779
supercont2.10	135206	138749	IES-00166-r13	3544	2098439	1	chr2	187812	2286250	2147502	2151046
supercont2.10	144235	144671	IES-00167-r19	437	2098439	1	chr2	187812	2286250	2141580	2142017
supercont2.10	205797	206090	IES-00168-r19	294	2098439	1	chr2	187812	2286250	2080161	2080455
supercont2.10	226699	229501	IES-00169-r13	2803	2098439	1	chr2	187812	2286250	2056750	2059553
supercont2.10	240135	242054	IES-00170-r14	1920	2098439	1	chr2	187812	2286250	2044197	2046117
supercont2.10	315407	318535	IES-00171-r11	3129	2098439	1	chr2	187812	2286250	1967716	1970845
supercont2.10	327342	328751	IES-00172-r19	1410	2098439	1	chr2	187812	2286250	1957500	1958910
supercont2.10	340936	342354	IES-00173-r9	1419	2098439	1	chr2	187812	2286250	1943897	1945316
supercont2.10	347170	348234	IES-00174-r14	1065	2098439	1	chr2	187812	2286250	1938017	1939082
supercont2.10	357193	359928	IES-00175-r12	2736	2098439	1	chr2	187812	2286250	1926323	1929059
supercont2.10	366900	368615	IES-00176-r5	1716	2098439	1	chr2	187812	2286250	1917636	1919352
supercont2.10	376309	377664	IES-00177-r13	1356	2098439	1	chr2	187812	2286250	1908587	1909943
supercont2.10	392573	397784	IES-00178-r9	5212	2098439	1	chr2	187812	2286250	1888467	1893679
supercont2.10	401161	402198	IES-00179-r11	1038	2098439	1	chr2	187812	2286250	1884053	1885091
supercont2.10	413827	416276	IES-00180-r13	2450	2098439	1	chr2	187812	2286250	1869975	1872425
supercont2.10	432198	434362	IES-00181-r13	2165	2098439	1	chr2	187812	2286250	1851889	1854054
