supercontig	IES_in_supercontig_start	IES_in_supercontig_end	IES_ID	IES_size	start_supercontig	end_supercontig	chromosome_name	supercontig_in_chromosome_start	supercontig_in_chromosome_end	IES_in_chromosome_start	IES_in_chromosome_end
supercont2.1	25533	39239	IES-00001-r14	13707	3543150	1	chr4	5827052	9370201	9330963	9344670
supercont2.1	40362	41276	IES-00002-r15	915	3543150	1	chr4	5827052	9370201	9328926	9329841
supercont2.1	44717	49461	IES-00003-r17	4745	3543150	1	chr4	5827052	9370201	9320741	9325486
supercont2.1	111380	112439	IES-00004-r13	1060	3543150	1	chr4	5827052	9370201	9257763	9258823
supercont2.1	121285	122598	IES-00005-r6	1314	3543150	1	chr4	5827052	9370201	9247604	9248918
supercont2.1	170217	172078	IES-00006-r16	1862	3543150	1	chr4	5827052	9370201	9198124	9199986
supercont2.1	182376	184622	IES-00007-r16	2247	3543150	1	chr4	5827052	9370201	9185580	9187827
supercont2.1	199110	202324	IES-00008-r18	3215	3543150	1	chr4	5827052	9370201	9167878	9171093
supercont2.1	266672	268684	IES-00009-r7	2013	3543150	1	chr4	5827052	9370201	9101518	9103531
supercont2.1	303613	305758	IES-00010-r19	2146	3543150	1	chr4	5827052	9370201	9064444	9066590
supercont2.1	316111	317084	IES-00011-r15	974	3543150	1	chr4	5827052	9370201	9053118	9054092
supercont2.1	359094	360638	IES-00012-r11	1545	3543150	1	chr4	5827052	9370201	9009564	9011109
supercont2.1	364598	365358	IES-00013-r15	761	3543150	1	chr4	5827052	9370201	9004844	9005605
supercont2.1	390209	391566	IES-00014-r14	1358	3543150	1	chr4	5827052	9370201	8978636	8979994
supercont2.1	394666	397551	IES-00015-r12	2886	3543150	1	chr4	5827052	9370201	8972651	8975537
supercont2.1	418899	420246	IES-00016-r10	1348	3543150	1	chr4	5827052	9370201	8949956	8951304
supercont2.1	427139	428083	IES-00017-r16	945	3543150	1	chr4	5827052	9370201	8942119	8943064
supercont2.1	433920	435251	IES-00018-r12	1332	3543150	1	chr4	5827052	9370201	8934951	8936283
supercont2.1	442790	444529	IES-00019-r13	1740	3543150	1	chr4	5827052	9370201	8925673	8927413
supercont2.1	467382	469309	IES-00020-r18	1928	3543150	1	chr4	5827052	9370201	8900893	8902821
supercont2.1	474644	474956	IES-00021-r19	313	3543150	1	chr4	5827052	9370201	8895246	8895559
supercont2.1	476358	479514	IES-00022-r15	3157	3543150	1	chr4	5827052	9370201	8890688	8893845
supercont2.1	483383	484513	IES-00023-r12	1131	3543150	1	chr4	5827052	9370201	8885689	8886820
supercont2.1	530758	532388	IES-00024-r16	1631	3543150	1	chr4	5827052	9370201	8837814	8839445
supercont2.1	561257	564069	IES-00025-r13	2813	3543150	1	chr4	5827052	9370201	8806133	8808946
supercont2.1	573534	574836	IES-00026-r17	1303	3543150	1	chr4	5827052	9370201	8795366	8796669
supercont2.1	618011	619515	IES-00027-r13	1505	3543150	1	chr4	5827052	9370201	8750687	8752192
supercont2.1	635838	637691	IES-00028-r15	1854	3543150	1	chr4	5827052	9370201	8732511	8734365
supercont2.1	682179	683947	IES-00029-r14	1769	3543150	1	chr4	5827052	9370201	8686255	8688024
supercont2.1	711981	712602	IES-00030-r10	622	3543150	1	chr4	5827052	9370201	8657600	8658222
supercont2.1	714929	716905	IES-00031-r20	1977	3543150	1	chr4	5827052	9370201	8653297	8655274
supercont2.1	753255	755591	IES-00032-r18	2337	3543150	1	chr4	5827052	9370201	8614611	8616948
supercont2.1	763226	763876	IES-00033-r17	651	3543150	1	chr4	5827052	9370201	8606326	8606977
supercont2.1	821776	822488	IES-00034-r7	713	3543150	1	chr4	5827052	9370201	8547714	8548427
supercont2.1	899749	901051	IES-00035-r10	1303	3543150	1	chr4	5827052	9370201	8469151	8470454
supercont2.1	967216	967587	IES-00036-r19	372	3543150	1	chr4	5827052	9370201	8402615	8402987
supercont2.1	1012150	1015673	IES-00037-r9	3524	3543150	1	chr4	5827052	9370201	8354529	8358053
supercont2.1	1018653	1025356	IES-00038-r16	6704	3543150	1	chr4	5827052	9370201	8344846	8351550
supercont2.1	1060770	1061562	IES-00039-r16	793	3543150	1	chr4	5827052	9370201	8308640	8309433
supercont2.1	1089540	1092337	IES-00040-r15	2798	3543150	1	chr4	5827052	9370201	8277865	8280663
supercont2.1	1094679	1096274	IES-00041-r18	1596	3543150	1	chr4	5827052	9370201	8273928	8275524
supercont2.1	1099442	1099785	IES-00042-r12	344	3543150	1	chr4	5827052	9370201	8270417	8270761
