chain	chainscore	refname	refsize	strand	refstart	refend	refshift	refnameshift	queryname	querysize	qstrand	querystart	queryend	queryshift	chainID	ungapsize
chain	1000	scf_8254406	840097	+	0	16021	318	scf_8254464	chr2	25514821	+	20857	36878	33855	2770	16021
chain	1000	scf_8254406	840097	+	16016	17574	17570	scf_8254406	chr2	25514821	+	37544	39102	39927	2771	1558
chain	1000	scf_8254464	407255	+	318	7006	16016	scf_8254406	chr2	25514821	-	33855	40543	37544	5263	6688
chain	1000	scf_8254406	840097	+	17570	24481	7006	scf_8254464	chr2	25514821	+	39927	46838	42988	2772	6911
chain	1000	scf_8254464	407255	+	7006	11517	24467	scf_8254406	chr2	25514821	-	42988	47499	47958	5262	4511
chain	1000	scf_8254406	840097	+	24467	26321	26321	scf_8254406	chr2	25514821	+	47958	49812	51438	2773	1854
chain	1000	scf_8254464	407255	+	11841	13135	13127	scf_8254464	chr2	25514821	-	52411	53705	55493	5261	1294
chain	1000	scf_8254406	840097	+	26321	38403	11841	scf_8254464	chr2	25514821	+	51438	63520	52411	2774	12082
chain	1000	scf_8254464	407255	+	13127	22751	38435	scf_8254406	chr2	25514821	-	55493	65117	63620	5260	9624
chain	1000	scf_8254406	840097	+	38435	47896	22748	scf_8254464	chr2	25514821	+	63620	73081	70507	2775	9461
chain	1000	scf_8254464	407255	+	22748	36012	47896	scf_8254406	chr2	25514821	-	70507	83771	75734	5259	13264
chain	1000	scf_8254406	840097	+	47896	59371	36011	scf_8254464	chr2	25514821	+	75734	87209	87950	2776	11475
chain	1000	scf_8254464	407255	+	36011	71562	59360	scf_8254406	chr2	25514821	-	87950	123501	90151	5258	35551
chain	1000	scf_8254406	840097	+	59360	95320	71558	scf_8254464	chr2	25514821	+	90151	126111	125282	2777	35960
chain	1000	scf_8254464	407255	+	71558	79496	95316	scf_8254406	chr2	25514821	-	125282	133220	128345	5257	7938
chain	1000	scf_8254464	407255	+	79493	86302	86294	scf_8254464	chr2	25514821	-	136895	143704	148389	5256	6809
chain	1000	scf_8254406	840097	+	95316	117327	79493	scf_8254464	chr2	25514821	+	128345	150356	136895	2778	22011
chain	1000	scf_8254406	840097	+	118198	121838	122932	scf_8254406	chr2	25514821	+	159043	162683	168895	2779	3640
chain	1000	scf_8254464	407255	+	86294	109022	118198	scf_8254406	chr2	25514821	-	148389	171117	159043	5255	22728
chain	1000	scf_8254406	840097	+	122932	125237	109017	scf_8254464	chr2	25514821	+	168895	171200	174574	2780	2305
chain	1000	scf_8254464	407255	+	109017	111804	125236	scf_8254406	chr2	25514821	-	174574	177361	175203	5254	2787
chain	1000	scf_8254406	840097	+	125236	128011	111257	scf_8254464	chr2	25514821	+	175203	177978	177091	2781	2775
chain	1000	scf_8254406	840097	+	128009	133042	122752	scf_8254464	chr2	25514821	+	182678	187711	188215	2782	5033
chain	1000	scf_8254464	407255	+	111257	122736	128009	scf_8254406	chr2	25514821	-	177091	188570	182678	5253	11479
chain	1000	scf_8254464	407255	+	122752	125343	133006	scf_8254406	chr2	25514821	-	188215	190806	194230	5252	2591
chain	1000	scf_8254464	407255	+	125342	130383	130376	scf_8254464	chr2	25514821	-	194443	199484	205209	5251	5041
chain	1000	scf_8254406	840097	+	133006	143282	125342	scf_8254464	chr2	25514821	+	194230	204506	194443	2783	10276
chain	1000	scf_8254464	407255	+	130376	133420	143278	scf_8254406	chr2	25514821	-	205209	208253	209042	5250	3044
chain	1000	scf_8254406	840097	+	143278	145669	135415	scf_8254464	chr2	25514821	+	209042	211433	212339	2784	2391
chain	1000	scf_8254464	407255	+	135415	140234	145661	scf_8254406	chr2	25514821	-	212339	217158	214758	5249	4819
chain	1000	scf_8254406	840097	+	145661	148176	148173	scf_8254406	chr2	25514821	+	214758	217273	219412	2785	2515
chain	1000	scf_8254406	840097	+	148173	149241	140234	scf_8254464	chr2	25514821	+	219412	220480	219417	2786	1068
chain	1000	scf_8254406	840097	+	149240	151560	151622	scf_8254406	chr2	25514821	+	222124	224444	224544	2787	2320
chain	1000	scf_8254406	840097	+	151622	157792	157788	scf_8254406	chr2	25514821	+	224544	230714	232762	2788	6170
chain	1000	scf_8254464	407255	+	140234	156000	149240	scf_8254406	chr2	25514821	-	219417	235183	222124	5248	15766
chain	1000	scf_8254464	407255	+	155998	162190	162190	scf_8254464	chr2	25514821	-	237227	243419	246373	5247	6192
chain	1000	scf_8254406	840097	+	157788	171003	155998	scf_8254464	chr2	25514821	+	232762	245977	237227	2789	13215
chain	1000	scf_8254406	840097	+	171906	173064	172561	scf_8254464	chr2	25514821	+	251982	253140	258105	2790	1158
chain	1000	scf_8254464	407255	+	162190	172561	171906	scf_8254406	chr2	25514821	-	246373	256744	251982	5246	10371
chain	1000	scf_8254406	840097	+	173804	185979	197632	scf_8254464	chr2	25514821	+	270188	282363	283145	2791	12175
chain	1000	scf_8254464	407255	+	172561	197501	173804	scf_8254406	chr2	25514821	-	258105	283045	270188	5245	24940
chain	1000	scf_8254464	407255	+	197632	201019	185979	scf_8254406	chr2	25514821	-	283145	286532	285558	5244	3387
chain	1000	scf_8254406	840097	+	185979	190647	190644	scf_8254406	chr2	25514821	+	285558	290226	291770	2792	4668
chain	1000	scf_8254406	840097	+	190644	214473	201019	scf_8254464	chr2	25514821	+	291770	315599	292620	2793	23829
chain	1000	scf_8254464	407255	+	201019	242312	214466	scf_8254406	chr2	25514821	-	292620	333913	316394	5243	41293
chain	1000	scf_8254464	407255	+	242311	245791	237434	scf_8254406	chr2	25514821	-	334346	337826	343214	5242	3480
chain	1000	scf_8254406	840097	+	214466	237439	242311	scf_8254464	chr2	25514821	+	316394	339367	334346	2794	22973
chain	1000	scf_8254406	840097	+	237434	246517	245790	scf_8254464	chr2	25514821	+	343214	352297	343343	2795	9083
chain	1000	scf_8254464	407255	+	245790	258195	246516	scf_8254406	chr2	25514821	-	343343	355748	352619	5241	12405
chain	1000	scf_8254464	407255	+	258192	263792	263790	scf_8254464	chr2	25514821	-	358252	363852	364938	5240	5600
chain	1000	scf_8254464	407255	+	263790	266995	266993	scf_8254464	chr2	25514821	-	364938	368143	370105	5239	3205
chain	1000	scf_8254464	407255	+	266993	272836	272802	scf_8254464	chr2	25514821	-	370105	375948	378650	5238	5843
chain	1000	scf_8254406	840097	+	246516	273986	258192	scf_8254464	chr2	25514821	+	352619	380089	358252	2796	27470
chain	1000	scf_8254464	407255	+	272802	274621	274610	scf_8254464	chr2	25514821	-	378650	380469	380592	5237	1819
chain	1000	scf_8254464	407255	+	274610	281668	273971	scf_8254406	chr2	25514821	-	380592	387650	387115	5236	7058
chain	1000	scf_8254406	840097	+	273971	278577	281667	scf_8254464	chr2	25514821	+	387115	391721	389273	2797	4606
chain	1000	scf_8254464	407255	+	281667	297624	278541	scf_8254406	chr2	25514821	-	389273	405230	394835	5235	15957
chain	1000	scf_8254406	840097	+	278541	291263	297622	scf_8254464	chr2	25514821	+	394835	407557	406943	2798	12722
chain	1000	scf_8254406	840097	+	291263	305405	305520	scf_8254406	chr2	25514821	+	409712	423854	425846	2799	14142
chain	1000	scf_8254406	840097	+	305520	310013	310001	scf_8254406	chr2	25514821	+	425846	430339	431046	2800	4493
chain	1000	scf_8254464	407255	+	297622	321499	291263	scf_8254406	chr2	25514821	-	406943	430820	409712	5234	23877
chain	1000	scf_8254406	840097	+	310001	311439	321502	scf_8254464	chr2	25514821	+	431046	432484	432835	2801	1438
chain	1000	scf_8254464	407255	+	321502	332038	311441	scf_8254406	chr2	25514821	-	432835	443371	434191	5233	10536
chain	1000	scf_8254406	840097	+	311441	324643	332030	scf_8254464	chr2	25514821	+	434191	447393	447736	2802	13202
chain	1000	scf_8254464	407255	+	332030	341359	324643	scf_8254406	chr2	25514821	-	447736	457065	450888	5232	9329
chain	1000	scf_8254406	840097	+	324643	331965	341355	scf_8254464	chr2	25514821	+	450888	458210	458888	2803	7322
chain	1000	scf_8254464	407255	+	341355	350334	331965	scf_8254406	chr2	25514821	-	458888	467867	459056	5231	8979
chain	1000	scf_8254406	840097	+	331965	347470	348497	scf_8254406	chr2	25514821	+	459056	474561	475480	2804	15505
chain	1000	scf_8254406	840097	+	348497	356788	350333	scf_8254464	chr2	25514821	+	475480	483771	478715	2805	8291
