chain	chainscore	refname	refsize	strand	refstart	refend	refshift	refnameshift	queryname	querysize	qstrand	querystart	queryend	queryshift	chainID	ungapsize
chain	1000	scf_8254697	1868686	+	64	2037	2014	scf_8254697	chr3	31519100	-	31564	33537	36622	7657	1973
chain	1000	scf_8254241	108869	+	245	30248	64	scf_8254697	chr3	31519100	+	6854	36857	31564	5264	30003
chain	1000	scf_8254697	1868686	+	2014	3827	3990	scf_8254697	chr3	31519100	-	36622	38435	39329	7656	1813
chain	1000	scf_8254697	1868686	+	3990	22996	30248	scf_8254241	chr3	31519100	-	39329	58335	40227	7655	19006
chain	1000	scf_8254241	108869	+	30248	49829	22995	scf_8254697	chr3	31519100	+	40227	59808	60469	5265	19581
chain	1000	scf_8254697	1868686	+	22995	24794	49828	scf_8254241	chr3	31519100	-	60469	62268	61037	7654	1799
chain	1000	scf_8254697	1868686	+	26028	29217	29200	scf_8254697	chr3	31519100	-	66774	69963	71061	7653	3189
chain	1000	scf_8254697	1868686	+	29200	31567	64335	scf_8254241	chr3	31519100	-	71061	73428	77680	7652	2367
chain	1000	scf_8254241	108869	+	49828	64351	26028	scf_8254697	chr3	31519100	+	61037	75560	66774	5266	14523
chain	1000	scf_8254241	108869	+	64335	73096	31567	scf_8254697	chr3	31519100	+	77680	86441	77990	5267	8761
chain	1000	scf_8254241	108869	+	73096	77512	77509	scf_8254241	chr3	31519100	+	87703	92119	93824	5268	4416
chain	1000	scf_8254241	108869	+	77509	85499	85489	scf_8254241	chr3	31519100	+	93824	101814	104939	5269	7990
chain	1000	scf_8254697	1868686	+	31567	57882	73096	scf_8254241	chr3	31519100	-	77990	104305	87703	7651	26315
chain	1000	scf_8254241	108869	+	85489	88584	57863	scf_8254697	chr3	31519100	+	104939	108034	105141	5270	3095
chain	1000	scf_8254241	108869	+	88489	96719	70290	scf_8254697	chr3	31519100	+	108134	116364	118023	5271	8230
chain	1000	scf_8254697	1868686	+	57863	70129	88489	scf_8254241	chr3	31519100	-	105141	117407	108134	7650	12266
chain	1000	scf_8254241	108869	+	96710	99194	99251	scf_8254241	chr3	31519100	+	119850	122334	122434	5272	2484
chain	1000	scf_8254697	1868686	+	70290	78747	96710	scf_8254241	chr3	31519100	-	118023	126480	119850	7649	8457
chain	1000	scf_8254241	108869	+	99251	108844	78731	scf_8254697	chr3	31519100	+	122434	132027	130290	5273	9593
chain	1000	scf_8254697	1868686	+	78731	87955	90405	scf_8254697	chr3	31519100	-	130290	139514	148819	7648	9224
chain	1000	scf_8254697	1868686	+	90405	94028	94028	scf_8254697	chr3	31519100	-	148819	152442	156755	7647	3623
chain	1000	scf_8254697	1868686	+	94028	124188	124187	scf_8254697	chr3	31519100	-	156755	186915	191225	7646	30160
chain	1000	scf_8254697	1868686	+	124187	146223	146221	scf_8254697	chr3	31519100	-	191225	213261	214541	7645	22036
chain	1000	scf_8254697	1868686	+	146221	152607	152726	scf_8254697	chr3	31519100	-	214541	220927	221261	7644	6386
chain	1000	scf_8254697	1868686	+	152726	157350	157347	scf_8254697	chr3	31519100	-	221261	225885	229756	7643	4624
chain	1000	scf_8254697	1868686	+	157347	159046	159062	scf_8254697	chr3	31519100	-	229756	231455	237147	7642	1699
