IES-00286-r11_chr3_17808213	scf_8254421	4224	4225
IES-00468-r10_chr3_4650205	scf_8254610	288053	288060
IES-00470-r14_chr3_4595928	scf_8254610	237313	237316
IES-00478-r21_chr3_4259583	scf_8254588	146664	146667
IES-00479-r11_chr3_4225413	scf_8254588	115280	115281
IES-00482-r16_chr3_4084751	scf_8254437	533285	533297
IES-00483-r21_chr3_4059445	scf_8254437	512145	512146
IES-00484-r16_chr3_4048840	scf_8254437	506844	506857
IES-00492-r11_chr3_3621042	scf_8254437	114671	114672
IES-00493-r21_chr3_3566130	scf_8254437	62310	62310
IES-00494-r9_chr3_3559913	scf_8254437	57290	57290
IES-00495-r16_chr3_3542035	scf_8254437	40806	40807
IES-00504-r5_chr3_3206819	scf_8254517	7584	7585
IES-00514-r11_chr3_20752550	scf_8254600	79887	79887
IES-00516-r7_chr3_20741232	scf_8254600	73389	73394
IES-00518-r11_chr3_20730951	scf_8254600	67540	67547
IES-00521-r15_chr3_20689994	scf_8254600	39733	39740
IES-00526-r13_chr3_20638350	scf_8254600	7365	7368
IES-00527-r14_chr3_20626726	scf_8254798	485767	485775
IES-00530-r14_chr3_20578769	scf_8254798	465789	465790
IES-00532-r9_chr3_20516926	scf_8254798	448464	448464
IES-00534-r9_chr3_4873193	scf_8254610	485150	485153
IES-00535-r14_chr3_4880518	scf_8254610	488438	488448
IES-00536-r7_chr3_4925821	scf_8254610	530502	530507
IES-00537-r16_chr3_4978914	scf_8254610	581987	581987
IES-00597-r12_chr3_16884201	scf_8254672	220362	220368
IES-00598-r11_chr3_16871155	scf_8254672	212586	212597
IES-00599-r12_chr3_16866003	scf_8254672	209757	209759
IES-00600-r11_chr3_16829536	scf_8254672	196700	196704
IES-00601-r10_chr3_16823450	scf_8254672	194353	194354
IES-00602-r21_chr3_16810682	scf_8254672	192498	192510
IES-00603-r10_chr3_16803482	scf_8254672	190100	190111
IES-00604-r16_chr3_16792198	scf_8254672	184661	184662
IES-00605-r19_chr3_16788319	scf_8254672	181971	181976
IES-00606-r11_chr3_16782271	scf_8254672	179578	179579
IES-00607-r7_chr3_16755703	scf_8254672	162423	162424
IES-00608-r15_chr3_16737641	scf_8254672	151739	151739
IES-00609-r12_chr3_16718826	scf_8254672	143756	143762
IES-00610-r18_chr3_16710566	scf_8254672	138310	138310
IES-00611-r10_chr3_16699703	scf_8254672	135636	135639
IES-00614-r15_chr3_16654120	scf_8254672	125856	125860
IES-00616-r10_chr3_16643202	scf_8254672	120372	120416
IES-00676-r16_chr3_9034591	scf_8254667	1589340	1589347
IES-00678-r6_chr3_8971700	scf_8254667	1536561	1536563
IES-00679-r15_chr3_8966978	scf_8254667	1533978	1533981
IES-00683-r16_chr3_8839919	scf_8254667	1425428	1425429
IES-00992-r12_chr3_14466541	scf_8254663	151359	151362
IES-00994-r10_chr3_14545464	scf_8254663	178881	178896
IES-01002-r16_chr3_14706979	scf_8254482	16270	16271
IES-01006-r8_chr3_14756304	scf_8254450	9555	9555
IES-01007-r11_chr3_14764066	scf_8254450	14121	14127
IES-01010-r10_chr3_14792220	scf_8254450	30196	30197
IES-01013-r19_chr3_14852297	scf_8254450	54446	54449
IES-01014-r16_chr3_14861148	scf_8254450	56588	56591
IES-01040-r8_chr3_15340072	scf_8253853	5815	5817
IES-01041-r15_chr3_15350500	scf_8253853	5815	5817
IES-01042-r15_chr3_15353973	scf_8253853	5815	5817
IES-01044-r14_chr3_15369671	scf_8253853	9203	9206
IES-01051-r8_chr3_15494164	scf_8254176	46065	46068
IES-01270-r13_chr3_16525752	scf_8254672	82794	82795
IES-01275-r16_chr3_16465854	scf_8254672	66570	66570
IES-01281-r14_chr3_16398503	scf_8254672	24707	24707
IES-01283-r4_chr3_16363475	scf_8254672	2640	2647
IES-01554-r10_chr3_13856340	scf_8254665	706318	706318
IES-01640-r17_chr3_26510499	scf_8254422	108489	108492
IES-02003-r12_chr3_21085751	scf_8254600	323456	323462
IES-02006-r14_chr3_21119264	scf_8254600	336655	336662
IES-02007-r11_chr3_21127129	scf_8254600	339518	339539
IES-02011-r15_chr3_21201612	scf_8254600	398968	398969
IES-02012-r9_chr3_21208812	scf_8254600	404615	404624
IES-02014-r13_chr3_21218175	scf_8254600	410028	410039
IES-02017-r7_chr3_21248009	scf_8254600	436054	436055
IES-02030-r12_chr3_21478135	scf_8254600	617853	617853
IES-02033-r9_chr3_21505440	scf_8254600	630359	630367
IES-02038-r20_chr3_21636536	scf_8254600	731479	731491
IES-02039-r20_chr3_21689565	scf_8254600	778518	778521
IES-02041-r12_chr3_21713850	scf_8254600	791603	791603
IES-02042-r15_chr3_21720486	scf_8254600	795811	795811
IES-02043-r11_chr3_21727700	scf_8254600	800971	800975
IES-02044-r16_chr3_21733705	scf_8254600	802705	802705
IES-02045-r17_chr3_21767769	scf_8254361	19708	19708
IES-02046-r17_chr3_21773180	scf_8254361	22648	22648
IES-02088-r16_chr3_12808906	scf_8254513	49349	49351
IES-02089-r26_chr3_12817208	scf_8254513	54246	54248
IES-02316-r7_chr3_12141146	scf_8254389	13325	13325
IES-02517-r9_chr3_19780837	scf_8254047	199260	199260
IES-02518-r16_chr3_19774942	scf_8254047	197900	197904
IES-02520-r10_chr3_19745090	scf_8254047	179896	179899
IES-02521-r14_chr3_19732297	scf_8254047	171383	171388
IES-02527-r11_chr3_19664055	scf_8254047	122533	122533
IES-02848-r12_chr3_20946396	scf_8254600	213510	213510
IES-02856-r11_chr3_20802617	scf_8254600	95420	95422
IES-03056-r11_chr3_29452227	scf_8254582	732744	732764
IES-03060-r16_chr3_29538319	scf_8254582	798219	798221
IES-03067-r12_chr3_29684193	scf_8254582	932903	932906
IES-03111-r20_chr3_14755251	scf_8254450	9555	9555
IES-03112-r13_chr3_14763085	scf_8254450	14121	14127
IES-03113-r10_chr3_14783329	scf_8254450	25623	25623
IES-03114-r11_chr3_14790141	scf_8254450	30196	30197
IES-03115-r14_chr3_14802499	scf_8254450	38321	38327
IES-03116-r10_chr3_14807903	scf_8254450	41398	41400
IES-03117-r14_chr3_14813200	scf_8254450	43602	43608
IES-03118-r11_chr3_14844992	scf_8254450	54446	54449
IES-03119-r17_chr3_14867583	scf_8254450	57631	57633
IES-03412-r11_chr3_12397768	scf_8254097	10673	10678
IES-03413-r10_chr3_12419503	scf_8254097	11980	11980
IES-03420-r12_chr3_16058034	scf_8253978	6166	6167
IES-03421-r11_chr3_16076809	scf_8253978	17765	17766
IES-03422-r12_chr3_16084776	scf_8253978	21973	21973
IES-03423-r13_chr3_16101556	scf_8253978	29862	29863
IES-03426-r5_chr3_16149131	scf_8253978	60396	60403
IES-03441-r5_chr3_15969687	scf_8254355	6195	6195
IES-03657-r7_chr3_19980270	scf_8254687	11631	11635
IES-03658-r8_chr3_19975699	scf_8254687	9109	9119
IES-03662-r9_chr3_19941830	scf_8254670	42755	42758
IES-03666-r20_chr3_19914003	scf_8254670	30596	30597
IES-03796-r20_chr3_101815	scf_8254241	85489	85499
IES-03797-r7_chr3_92120	scf_8254241	77509	77512
IES-03937-r10_chr3_12078549	scf_8254553	6002	6012
IES-03985-r17_chr3_14890112	scf_8254511	8784	8789
IES-03986-r17_chr3_14883325	scf_8254511	6461	6461
IES-03987-r14_chr3_14852381	scf_8254450	54446	54449
IES-04116-r13_chr3_19569713	scf_8254047	66525	66527
IES-04158-r5_chr3_31191137	scf_8254584	322235	322244
IES-04159-r20_chr3_31208541	scf_8254584	331541	331544
IES-04312-r7_chr3_14906986	scf_8254511	16690	16693
IES-04671-r15_chr3_28142108	scf_8254397	182604	182605
IES-04672-r13_chr3_28051804	scf_8254397	96204	96206
IES-04674-r19_chr3_28015639	scf_8254397	62524	62525
IES-04675-r14_chr3_27994866	scf_8254397	46770	46771
IES-04676-r15_chr3_27982360	scf_8254397	39773	39774
IES-04677-r17_chr3_27959193	scf_8254397	22325	22330
IES-04712-r8_chr3_17852218	scf_8254660	6687	6687
IES-04951-r19_chr3_24690992	scf_8254622	17061	17069
IES-04953-r12_chr3_24719281	scf_8254622	40056	40059
IES-05055-r10_chr3_15794547	scf_8254302	38096	38098
IES-05056-r19_chr3_15788078	scf_8254302	36046	36049
IES-05057-r9_chr3_15760129	scf_8254302	11902	11902
IES-05121-r9_chr3_19381087	scf_8254368	35166	35175
IES-05126-r11_chr3_19326017	scf_8254368	23330	23333
IES-05137-r9_chr3_13675860	scf_8254665	610523	610523
IES-05140-r8_chr3_13638808	scf_8254665	591463	591464
IES-05141-r21_chr3_13628205	scf_8254665	588248	588248
IES-05229-r10_chr3_19795340	scf_8254047	205647	205650
IES-05231-r9_chr3_19807523	scf_8254047	211375	211383
IES-05234-r14_chr3_19830452	scf_8254047	219230	219230
IES-05259-r8_chr3_15362109	scf_8253853	6840	6846
IES-05260-r11_chr3_15368387	scf_8253853	9203	9206
IES-05265-r10_chr3_12926383	scf_8254683	13499	13499
IES-05267-r19_chr3_12911903	scf_8254683	8833	8836
IES-05277-r6_chr3_15446136	scf_8254176	32906	32907
IES-05278-r17_chr3_15426550	scf_8254176	19759	19760
IES-05284-r8_chr3_9115364	scf_8254667	1643954	1643954
IES-05286-r10_chr3_9124868	scf_8254667	1649635	1649638
IES-05287-r15_chr3_9144482	scf_8254378	62956	62957
IES-05289-r17_chr3_9157448	scf_8254667	1674571	1674571
IES-05295-r18_chr3_9319082	scf_8254667	1789438	1789438
IES-05296-r13_chr3_9332703	scf_8254667	1801763	1801764
IES-05297-r19_chr3_9339249	scf_8254667	1806171	1806175
IES-05298-r19_chr3_9342270	scf_8254667	1807629	1807629
IES-05299-r13_chr3_9352425	scf_8254667	1815174	1815181
IES-05301-r7_chr3_9374926	scf_8254667	1827146	1827147
IES-05302-r10_chr3_9383260	scf_8254667	1831130	1831156
IES-05308-r20_chr3_9492296	scf_8254667	1917759	1917762
IES-05311-r12_chr3_9594200	scf_8254667	2004816	2004821
IES-05312-r15_chr3_9597368	scf_8254667	2007125	2007125
IES-05313-r8_chr3_9639613	scf_8254667	2044379	2044392
IES-05314-r4_chr3_9642758	scf_8254667	2046349	2046349
IES-05315-r7_chr3_9646051	scf_8254667	2047915	2047923
IES-05318-r11_chr3_9680450	scf_8254667	2071665	2071667
IES-05319-r14_chr3_9687481	scf_8254667	2076460	2076460
IES-05320-r12_chr3_9722149	scf_8254667	2105818	2105819
IES-05321-r9_chr3_9727908	scf_8254667	2109484	2109487
IES-05322-r13_chr3_9742208	scf_8254667	2118812	2118815
IES-05323-r8_chr3_9748336	scf_8254667	2122502	2122507
IES-05324-r9_chr3_9751596	scf_8254667	2123924	2123928
IES-05399-r10_chr3_19431502	scf_8254368	47244	47244
IES-05400-r10_chr3_19421711	scf_8254368	47244	47244
IES-05441-r13_chr3_15487467	scf_8254176	46065	46068
IES-05561-r13_chr3_8147644	scf_8254667	861699	861702
IES-05562-r9_chr3_8125390	scf_8254667	841959	841959
IES-05565-r7_chr3_7964179	scf_8254667	689843	689844
IES-05568-r19_chr3_7921970	scf_8254667	666588	666588
IES-05569-r8_chr3_7906986	scf_8254667	653255	653258
IES-05570-r19_chr3_7900747	scf_8254667	649134	649137
