chain	chainscore	refname	refsize	strand	refstart	refend	refshift	refnameshift	queryname	querysize	qstrand	querystart	queryend	queryshift	chainID	ungapsize
chain	1000	scf_8254567	35896	+	30489	31751	31890	scf_8254567	chr1	36321994	-	22609	23871	24091	2769	1262
chain	1000	scf_8254567	35896	+	31890	34256	34234	scf_8254567	chr1	36321994	-	24091	26457	32023	2768	2366
chain	1000	scf_8254567	35896	+	34234	35313	776	scf_8254636	chr1	36321994	-	32023	33102	60489	2767	1079
chain	1000	scf_8254636	516068	+	776	5701	5701	scf_8254636	chr1	36321994	-	60489	65414	69301	2766	4925
chain	1000	scf_8254636	516068	+	5701	18536	18535	scf_8254636	chr1	36321994	-	69301	82136	84603	2765	12835
chain	1000	scf_8254636	516068	+	18535	26627	26626	scf_8254636	chr1	36321994	-	84603	92695	93359	2764	8092
chain	1000	scf_8254636	516068	+	26626	34599	34597	scf_8254636	chr1	36321994	-	93359	101332	102829	2763	7973
chain	1000	scf_8254636	516068	+	34597	52471	52473	scf_8254636	chr1	36321994	-	102829	120703	120560	2762	17874
chain	1000	scf_8254636	516068	+	52473	58170	58167	scf_8254636	chr1	36321994	-	120560	126257	127541	2761	5697
chain	1000	scf_8254636	516068	+	58167	60794	60793	scf_8254636	chr1	36321994	-	127541	130168	132814	2760	2627
chain	1000	scf_8254636	516068	+	60793	65845	65841	scf_8254636	chr1	36321994	-	132814	137866	138850	2759	5052
chain	1000	scf_8254636	516068	+	65841	71411	71411	scf_8254636	chr1	36321994	-	138850	144420	146296	2758	5570
chain	1000	scf_8254636	516068	+	71411	73352	73343	scf_8254636	chr1	36321994	-	146296	148237	151966	2757	1941
chain	1000	scf_8254636	516068	+	73343	80776	80775	scf_8254636	chr1	36321994	-	151966	159399	162396	2756	7433
chain	1000	scf_8254636	516068	+	80775	83088	83085	scf_8254636	chr1	36321994	-	162396	164709	168767	2755	2313
chain	1000	scf_8254636	516068	+	83085	88137	88136	scf_8254636	chr1	36321994	-	168767	173819	174505	2754	5052
chain	1000	scf_8254636	516068	+	88136	95108	95068	scf_8254636	chr1	36321994	-	174505	181477	183655	2753	6972
chain	1000	scf_8254636	516068	+	95068	99879	99879	scf_8254636	chr1	36321994	-	183655	188466	190980	2752	4811
chain	1000	scf_8254636	516068	+	99879	121304	122003	scf_8254636	chr1	36321994	-	190980	212405	218637	2751	21425
chain	1000	scf_8254636	516068	+	122003	123817	123816	scf_8254636	chr1	36321994	-	218637	220451	227708	2750	1814
chain	1000	scf_8254636	516068	+	123816	125258	126098	scf_8254636	chr1	36321994	-	227708	229150	232325	2749	1442
chain	1000	scf_8254636	516068	+	126098	130040	130036	scf_8254636	chr1	36321994	-	232325	236267	236695	2748	3942
chain	1000	scf_8254636	516068	+	130036	133574	135689	scf_8254636	chr1	36321994	-	236695	240233	252460	2747	3538
chain	1000	scf_8254636	516068	+	135689	139393	140320	scf_8254636	chr1	36321994	-	252460	256164	256996	2746	3704
chain	1000	scf_8254636	516068	+	140320	145254	145254	scf_8254636	chr1	36321994	-	256996	261930	264696	2745	4934
chain	1000	scf_8254636	516068	+	145254	147053	147050	scf_8254636	chr1	36321994	-	264696	266495	271003	2744	1799
chain	1000	scf_8254636	516068	+	147050	149494	149490	scf_8254636	chr1	36321994	-	271003	273447	275718	2743	2444
chain	1000	scf_8254636	516068	+	149490	150788	150788	scf_8254636	chr1	36321994	-	275718	277016	278220	2742	1298
chain	1000	scf_8254636	516068	+	150788	152107	152100	scf_8254636	chr1	36321994	-	278220	279539	280827	2741	1319
chain	1000	scf_8254636	516068	+	152100	153352	153349	scf_8254636	chr1	36321994	-	280827	282079	290290	2740	1252
chain	1000	scf_8254636	516068	+	153349	154407	158581	scf_8254636	chr1	36321994	-	290290	291348	298774	2739	1058
chain	1000	scf_8254636	516068	+	158581	161466	161462	scf_8254636	chr1	36321994	-	298774	301659	305937	2738	2885
chain	1000	scf_8254636	516068	+	161462	162884	162883	scf_8254636	chr1	36321994	-	305937	307359	314409	2737	1422
chain	1000	scf_8254636	516068	+	162883	164754	165144	scf_8254636	chr1	36321994	-	314409	316280	319313	2736	1871
chain	1000	scf_8254636	516068	+	165144	166703	166703	scf_8254636	chr1	36321994	-	319313	320872	323366	2735	1559
chain	1000	scf_8254636	516068	+	166703	168578	169643	scf_8254636	chr1	36321994	-	323366	325241	360301	2734	1875
chain	1000	scf_8254636	516068	+	169643	176528	176528	scf_8254636	chr1	36321994	-	360301	367186	371521	2733	6885
chain	1000	scf_8254636	516068	+	176528	177863	179955	scf_8254636	chr1	36321994	-	371521	372856	378208	2732	1335
chain	1000	scf_8254636	516068	+	179955	181179	181177	scf_8254636	chr1	36321994	-	378208	379432	383635	2731	1224
chain	1000	scf_8254636	516068	+	181177	182352	182349	scf_8254636	chr1	36321994	-	383635	384810	388380	2730	1175
chain	1000	scf_8254636	516068	+	182349	183980	183978	scf_8254636	chr1	36321994	-	388380	390011	392063	2729	1631
chain	1000	scf_8254636	516068	+	183978	188069	188662	scf_8254636	chr1	36321994	-	392063	396154	396516	2728	4091
chain	1000	scf_8254636	516068	+	188662	191809	191806	scf_8254636	chr1	36321994	-	396516	399663	400909	2727	3147
chain	1000	scf_8254636	516068	+	191806	196853	197658	scf_8254636	chr1	36321994	-	400909	405956	412732	2726	5047
chain	1000	scf_8254636	516068	+	197658	198757	198753	scf_8254636	chr1	36321994	-	412732	413831	414730	2725	1099
chain	1000	scf_8254636	516068	+	198753	209561	209560	scf_8254636	chr1	36321994	-	414730	425538	427631	2724	10808
chain	1000	scf_8254636	516068	+	209560	214384	215961	scf_8254636	chr1	36321994	-	427631	432455	437543	2723	4824
chain	1000	scf_8254636	516068	+	215961	226512	226503	scf_8254636	chr1	36321994	-	437543	448094	449789	2722	10551
chain	1000	scf_8254636	516068	+	226503	233158	233158	scf_8254636	chr1	36321994	-	449789	456444	460617	2721	6655
chain	1000	scf_8254636	516068	+	233158	235842	235840	scf_8254636	chr1	36321994	-	460617	463301	464576	2720	2684
chain	1000	scf_8254636	516068	+	235840	237819	237815	scf_8254636	chr1	36321994	-	464576	466555	470012	2719	1979
chain	1000	scf_8254636	516068	+	237815	241504	241501	scf_8254636	chr1	36321994	-	470012	473701	478842	2718	3689
chain	1000	scf_8254636	516068	+	241501	242718	242717	scf_8254636	chr1	36321994	-	478842	480059	486276	2717	1217
chain	1000	scf_8254636	516068	+	242717	248658	248658	scf_8254636	chr1	36321994	-	486276	492217	496473	2716	5941
chain	1000	scf_8254636	516068	+	248658	262012	262608	scf_8254636	chr1	36321994	-	496473	509827	512012	2715	13354
chain	1000	scf_8254636	516068	+	262608	265900	265895	scf_8254636	chr1	36321994	-	512012	515304	520443	2714	3292
chain	1000	scf_8254636	516068	+	265895	268670	268664	scf_8254636	chr1	36321994	-	520443	523218	525207	2713	2775
chain	1000	scf_8254636	516068	+	268664	271202	271194	scf_8254636	chr1	36321994	-	525207	527745	532721	2712	2538
chain	1000	scf_8254636	516068	+	271194	276517	280273	scf_8254636	chr1	36321994	-	532721	538044	549051	2711	5323
chain	1000	scf_8254636	516068	+	280273	282047	282875	scf_8254636	chr1	36321994	-	549051	550825	565788	2710	1774
chain	1000	scf_8254636	516068	+	282875	285949	285947	scf_8254636	chr1	36321994	-	565788	568862	571098	2709	3074
chain	1000	scf_8254636	516068	+	285947	289307	289296	scf_8254636	chr1	36321994	-	571098	574458	575784	2708	3360
chain	1000	scf_8254636	516068	+	289296	293310	293310	scf_8254636	chr1	36321994	-	575784	579798	580904	2707	4014
chain	1000	scf_8254636	516068	+	293310	295729	295729	scf_8254636	chr1	36321994	-	580904	583323	587882	2706	2419
chain	1000	scf_8254636	516068	+	295729	297766	297771	scf_8254636	chr1	36321994	-	587882	589919	593464	2705	2037
chain	1000	scf_8254636	516068	+	297771	298917	299554	scf_8254636	chr1	36321994	-	593464	594610	597563	2704	1146
chain	1000	scf_8254636	516068	+	299554	302003	302003	scf_8254636	chr1	36321994	-	597563	600012	601354	2703	2449
chain	1000	scf_8254636	516068	+	302003	303977	303977	scf_8254636	chr1	36321994	-	601354	603328	605152	2702	1974
chain	1000	scf_8254636	516068	+	303977	305822	305822	scf_8254636	chr1	36321994	-	605152	606997	615918	2701	1845
chain	1000	scf_8254636	516068	+	305822	307139	307133	scf_8254636	chr1	36321994	-	615918	617235	618777	2700	1317
chain	1000	scf_8254636	516068	+	307133	308871	308861	scf_8254636	chr1	36321994	-	618777	620515	622416	2699	1738
chain	1000	scf_8254636	516068	+	308861	312712	312711	scf_8254636	chr1	36321994	-	622416	626267	627405	2698	3851
chain	1000	scf_8254636	516068	+	312711	314539	314538	scf_8254636	chr1	36321994	-	627405	629233	638810	2697	1828
chain	1000	scf_8254636	516068	+	314538	321413	321412	scf_8254636	chr1	36321994	-	638810	645685	648539	2696	6875
chain	1000	scf_8254636	516068	+	321412	323245	323113	scf_8254636	chr1	36321994	-	648539	650372	653318	2695	1833
chain	1000	scf_8254636	516068	+	323113	330246	331068	scf_8254636	chr1	36321994	-	653318	660451	663533	2694	7133
chain	1000	scf_8254636	516068	+	331068	333060	333056	scf_8254636	chr1	36321994	-	663533	665525	667813	2693	1992
chain	1000	scf_8254636	516068	+	333056	335754	336721	scf_8254636	chr1	36321994	-	667813	670511	674753	2692	2698
chain	1000	scf_8254636	516068	+	336721	341544	341535	scf_8254636	chr1	36321994	-	674753	679576	680939	2691	4823
chain	1000	scf_8254636	516068	+	341535	349226	349226	scf_8254636	chr1	36321994	-	680939	688630	691476	2690	7691
chain	1000	scf_8254636	516068	+	349226	357319	357319	scf_8254636	chr1	36321994	-	691476	699569	700405	2689	8093
chain	1000	scf_8254636	516068	+	357319	370529	370526	scf_8254636	chr1	36321994	-	700405	713615	719159	2688	13210
chain	1000	scf_8254636	516068	+	370526	372454	372452	scf_8254636	chr1	36321994	-	719159	721087	723748	2687	1928
chain	1000	scf_8254636	516068	+	372452	373797	373796	scf_8254636	chr1	36321994	-	723748	725093	726703	2686	1345
chain	1000	scf_8254636	516068	+	373796	376325	376321	scf_8254636	chr1	36321994	-	726703	729232	734848	2685	2529
chain	1000	scf_8254636	516068	+	376321	385267	387108	scf_8254636	chr1	36321994	-	734848	743794	745635	2684	8946
chain	1000	scf_8254636	516068	+	387108	389645	3	scf_8254855	chr1	36321994	-	745635	748172	748184	2683	2537
chain	1000	scf_8254855	1054	+	3	1054	389628	scf_8254636	chr1	36321994	+	748184	749235	749428	81	1051
chain	1000	scf_8254636	516068	+	389628	391414	391414	scf_8254636	chr1	36321994	-	749428	751214	757680	2682	1786
chain	1000	scf_8254636	516068	+	391414	392869	392865	scf_8254636	chr1	36321994	-	757680	759135	762317	2681	1455
chain	1000	scf_8254636	516068	+	392865	398186	398182	scf_8254636	chr1	36321994	-	762317	767638	769127	2680	5321
chain	1000	scf_8254636	516068	+	398182	401155	401154	scf_8254636	chr1	36321994	-	769127	772100	775562	2679	2973
chain	1000	scf_8254636	516068	+	401154	406539	406539	scf_8254636	chr1	36321994	-	775562	780947	783194	2678	5385
chain	1000	scf_8254636	516068	+	406539	409531	409526	scf_8254636	chr1	36321994	-	783194	786186	787596	2677	2992
chain	1000	scf_8254636	516068	+	409526	413342	413341	scf_8254636	chr1	36321994	-	787596	791412	795843	2676	3816
chain	1000	scf_8254636	516068	+	413341	415058	415059	scf_8254636	chr1	36321994	-	795843	797560	801925	2675	1717
chain	1000	scf_8254636	516068	+	415059	417762	417761	scf_8254636	chr1	36321994	-	801925	804628	804995	2674	2703
chain	1000	scf_8254636	516068	+	417761	419347	419347	scf_8254636	chr1	36321994	-	804995	806581	810612	2673	1586
chain	1000	scf_8254636	516068	+	419347	420704	420703	scf_8254636	chr1	36321994	-	810612	811969	814932	2672	1357
chain	1000	scf_8254636	516068	+	420703	425692	425691	scf_8254636	chr1	36321994	-	814932	819921	820684	2671	4989
chain	1000	scf_8254636	516068	+	425691	427557	427557	scf_8254636	chr1	36321994	-	820684	822550	824116	2670	1866
chain	1000	scf_8254636	516068	+	427557	434305	434305	scf_8254636	chr1	36321994	-	824116	830864	836614	2669	6748
chain	1000	scf_8254636	516068	+	434305	439146	439143	scf_8254636	chr1	36321994	-	836614	841455	844074	2668	4841
chain	1000	scf_8254636	516068	+	439143	441382	441378	scf_8254636	chr1	36321994	-	844074	846313	860688	2667	2239
chain	1000	scf_8254636	516068	+	441378	442525	442524	scf_8254636	chr1	36321994	-	860688	861835	866215	2666	1147
chain	1000	scf_8254636	516068	+	442524	446056	446057	scf_8254636	chr1	36321994	-	866215	869747	878094	2665	3532
chain	1000	scf_8254636	516068	+	446057	449908	449906	scf_8254636	chr1	36321994	-	878094	881945	890535	2664	3851
chain	1000	scf_8254636	516068	+	449906	453863	453861	scf_8254636	chr1	36321994	-	890535	894492	901558	2663	3957
chain	1000	scf_8254636	516068	+	453861	457684	457679	scf_8254636	chr1	36321994	-	901558	905381	912498	2662	3823
chain	1000	scf_8254636	516068	+	457679	461143	461141	scf_8254636	chr1	36321994	-	912498	915962	919856	2661	3464
chain	1000	scf_8254636	516068	+	461141	462789	462786	scf_8254636	chr1	36321994	-	919856	921504	924287	2660	1648
chain	1000	scf_8254636	516068	+	462786	465897	465894	scf_8254636	chr1	36321994	-	924287	927398	931287	2659	3111
chain	1000	scf_8254636	516068	+	465894	469097	469094	scf_8254636	chr1	36321994	-	931287	934490	937912	2658	3203
chain	1000	scf_8254636	516068	+	469094	478532	478532	scf_8254636	chr1	36321994	-	937912	947350	949852	2657	9438
chain	1000	scf_8254636	516068	+	478532	479772	479771	scf_8254636	chr1	36321994	-	949852	951092	952573	2656	1240
chain	1000	scf_8254636	516068	+	479771	482855	482854	scf_8254636	chr1	36321994	-	952573	955657	958359	2655	3084
chain	1000	scf_8254636	516068	+	482854	488046	489189	scf_8254636	chr1	36321994	-	958359	963551	965056	2654	5192
chain	1000	scf_8254636	516068	+	489189	494403	495447	scf_8254636	chr1	36321994	-	965056	970270	977779	2653	5214
chain	1000	scf_8254636	516068	+	495447	497527	508088	scf_8254636	chr1	36321994	-	977779	979859	984842	2652	2080
chain	1000	scf_8254636	516068	+	508088	514579	514576	scf_8254636	chr1	36321994	-	984842	991333	997005	2651	6491
chain	1000	scf_8254636	516068	+	514576	516068	115	scf_8253992	chr1	36321994	-	997005	998497	1004311	2650	1492
chain	1000	scf_8253992	141270	+	115	1155	1145	scf_8253992	chr1	36321994	-	1004311	1005351	1006371	2649	1040
chain	1000	scf_8253992	141270	+	1145	2835	2976	scf_8253992	chr1	36321994	-	1006371	1008061	1009368	2648	1690
chain	1000	scf_8253992	141270	+	2976	9914	9912	scf_8253992	chr1	36321994	-	1009368	1016306	1019286	2647	6938
