supercontig	IES_in_supercontig_start	IES_in_supercontig_end	IES_ID	IES_size	start_supercontig	end_supercontig	chromosome_name	supercontig_in_chromosome_start	supercontig_in_chromosome_end	IES_in_chromosome_start	IES_in_chromosome_end
supercont2.100	4322	7452	IES-00258-r5	3131	1	387666	chr3	17423933	17811598	17428255	17431386
supercont2.100	11915	17342	IES-00259-r14	5428	1	387666	chr3	17423933	17811598	17435848	17441276
supercont2.100	21977	26273	IES-00260-r12	4297	1	387666	chr3	17423933	17811598	17445910	17450207
supercont2.100	29529	38893	IES-00261-r11	9365	1	387666	chr3	17423933	17811598	17453462	17462827
supercont2.100	40104	42938	IES-00262-r9	2835	1	387666	chr3	17423933	17811598	17464037	17466872
supercont2.100	45915	55518	IES-00263-r9	9604	1	387666	chr3	17423933	17811598	17469848	17479452
supercont2.100	59071	61670	IES-00264-r10	2600	1	387666	chr3	17423933	17811598	17483004	17485604
supercont2.100	63735	70374	IES-00265-r12	6640	1	387666	chr3	17423933	17811598	17487668	17494308
supercont2.100	98204	101341	IES-00266-r12	3138	1	387666	chr3	17423933	17811598	17522137	17525275
supercont2.100	103096	106618	IES-00267-r3	3523	1	387666	chr3	17423933	17811598	17527029	17530552
supercont2.100	108887	119441	IES-00268-r11	10555	1	387666	chr3	17423933	17811598	17532820	17543375
supercont2.100	122667	124458	IES-00269-r13	1792	1	387666	chr3	17423933	17811598	17546600	17548392
supercont2.100	126918	132699	IES-00270-r17	5782	1	387666	chr3	17423933	17811598	17550851	17556633
supercont2.100	138744	144232	IES-00271-r32	5489	1	387666	chr3	17423933	17811598	17562677	17568166
supercont2.100	148640	151186	IES-00272-r13	2547	1	387666	chr3	17423933	17811598	17572573	17575120
supercont2.100	172941	176574	IES-00273-r12	3634	1	387666	chr3	17423933	17811598	17596874	17600508
supercont2.100	218930	220500	IES-00274-r12	1571	1	387666	chr3	17423933	17811598	17642863	17644434
supercont2.100	230567	232556	IES-00275-r20	1990	1	387666	chr3	17423933	17811598	17654500	17656490
supercont2.100	235997	239039	IES-00276-r23	3043	1	387666	chr3	17423933	17811598	17659930	17662973
supercont2.100	241208	243394	IES-00277-r16	2187	1	387666	chr3	17423933	17811598	17665141	17667328
supercont2.100	247110	248852	IES-00278-r16	1743	1	387666	chr3	17423933	17811598	17671043	17672786
supercont2.100	261693	264983	IES-00279-r15	3291	1	387666	chr3	17423933	17811598	17685626	17688917
supercont2.100	272112	278894	IES-00280-r14	6783	1	387666	chr3	17423933	17811598	17696045	17702828
supercont2.100	282528	283282	IES-00281-r16	755	1	387666	chr3	17423933	17811598	17706461	17707216
supercont2.100	285137	292285	IES-00282-r12	7149	1	387666	chr3	17423933	17811598	17709070	17716219
supercont2.100	311443	316565	IES-00283-r23	5123	1	387666	chr3	17423933	17811598	17735376	17740499
supercont2.100	326159	330055	IES-00284-r11	3897	1	387666	chr3	17423933	17811598	17750092	17753989
supercont2.100	332026	341099	IES-00285-r10	9074	1	387666	chr3	17423933	17811598	17755959	17765033
supercont2.100	384280	386217	IES-00286-r11	1938	1	387666	chr3	17423933	17811598	17808213	17810151
supercont2.11	36865	37916	IES-00465-r6	1052	1983256	1	chr3	2815749	4799004	4761089	4762141
supercont2.11	46789	48782	IES-00466-r8	1994	1983256	1	chr3	2815749	4799004	4750223	4752217
supercont2.11	130010	130695	IES-00467-r14	686	1983256	1	chr3	2815749	4799004	4668310	4668996
supercont2.11	146893	148800	IES-00468-r10	1908	1983256	1	chr3	2815749	4799004	4650205	4652113
supercont2.11	154846	157027	IES-00469-r11	2182	1983256	1	chr3	2815749	4799004	4641978	4644160
supercont2.11	201564	203077	IES-00470-r14	1514	1983256	1	chr3	2815749	4799004	4595928	4597442
supercont2.11	208226	213501	IES-00471-r14	5276	1983256	1	chr3	2815749	4799004	4585504	4590780
supercont2.11	258248	260430	IES-00472-r11	2183	1983256	1	chr3	2815749	4799004	4538575	4540758
supercont2.11	271978	272730	IES-00473-r9	753	1983256	1	chr3	2815749	4799004	4526275	4527028
supercont2.11	275651	276225	IES-00474-r13	575	1983256	1	chr3	2815749	4799004	4522780	4523355
supercont2.11	406479	408176	IES-00475-r6	1698	1983256	1	chr3	2815749	4799004	4390829	4392527
supercont2.11	415198	416933	IES-00476-r21	1736	1983256	1	chr3	2815749	4799004	4382072	4383808
supercont2.11	440226	442426	IES-00477-r7	2201	1983256	1	chr3	2815749	4799004	4356579	4358780
supercont2.11	538272	539422	IES-00478-r21	1151	1983256	1	chr3	2815749	4799004	4259583	4260734
supercont2.11	571025	573592	IES-00479-r11	2568	1983256	1	chr3	2815749	4799004	4225413	4227981
supercont2.11	585121	585955	IES-00480-r18	835	1983256	1	chr3	2815749	4799004	4213050	4213885
supercont2.11	620259	623086	IES-00481-r15	2828	1983256	1	chr3	2815749	4799004	4175919	4178747
supercont2.11	713322	714254	IES-00482-r16	933	1983256	1	chr3	2815749	4799004	4084751	4085684
supercont2.11	738023	739560	IES-00483-r21	1538	1983256	1	chr3	2815749	4799004	4059445	4060983
supercont2.11	744863	750165	IES-00484-r16	5303	1983256	1	chr3	2815749	4799004	4048840	4054143
supercont2.11	807731	810371	IES-00485-r12	2641	1983256	1	chr3	2815749	4799004	3988634	3991275
supercont2.11	813403	817281	IES-00486-r17	3879	1983256	1	chr3	2815749	4799004	3981724	3985603
supercont2.11	883623	885020	IES-00487-r11	1398	1983256	1	chr3	2815749	4799004	3913985	3915383
supercont2.11	910113	911869	IES-00488-r19	1757	1983256	1	chr3	2815749	4799004	3887136	3888893
supercont2.11	912709	914111	IES-00489-r21	1403	1983256	1	chr3	2815749	4799004	3884894	3886297
supercont2.11	1004947	1006255	IES-00490-r17	1309	1983256	1	chr3	2815749	4799004	3792750	3794059
supercont2.11	1019581	1022308	IES-00491-r23	2728	1983256	1	chr3	2815749	4799004	3776697	3779425
supercont2.11	1174446	1177963	IES-00492-r11	3518	1983256	1	chr3	2815749	4799004	3621042	3624560
supercont2.11	1230385	1232875	IES-00493-r21	2491	1983256	1	chr3	2815749	4799004	3566130	3568621
supercont2.11	1237896	1239092	IES-00494-r9	1197	1983256	1	chr3	2815749	4799004	3559913	3561110
supercont2.11	1255577	1256970	IES-00495-r16	1394	1983256	1	chr3	2815749	4799004	3542035	3543429
supercont2.11	1374149	1376120	IES-00497-r13	1972	1983256	1	chr3	2815749	4799004	3422885	3424857
supercont2.11	1395212	1396245	IES-00498-r13	1034	1983256	1	chr3	2815749	4799004	3402760	3403794
supercont2.11	1398641	1399527	IES-00499-r16	887	1983256	1	chr3	2815749	4799004	3399478	3400365
supercont2.11	1442723	1444626	IES-00500-r20	1904	1983256	1	chr3	2815749	4799004	3354379	3356283
supercont2.11	1458052	1458799	IES-00501-r14	748	1983256	1	chr3	2815749	4799004	3340206	3340954
supercont2.11	1513081	1515742	IES-00502-r16	2662	1983256	1	chr3	2815749	4799004	3283263	3285925
supercont2.11	1583456	1585677	IES-00503-r13	2222	1983256	1	chr3	2815749	4799004	3213328	3215550
supercont2.11	1591098	1592186	IES-00504-r5	1089	1983256	1	chr3	2815749	4799004	3206819	3207908
